Author,Word Count
sdntechforum#3884,236.0
Miriam RAZ#9864,235.0
Bluecodes#6836,234.0
lukakle,233.0
ferdutzt,232.0
mohammad.jamali,232.0
muddydonut,231.0
DAVID OF NIRVANA#6220,229.0
sancti4675,228.0
soulman5,228.0
undisputedjeff,228.0
kyrkenet,228.0
joosh.meh,227.0
insidenima,226.0
enzo_vezzaro,225.0
alwaysgotlucky,225.0
cwatt00w#8879,225.0
momche,222.0
apeagent007,222.0
hytre8,222.0
all.calina,221.0
neuronbizdev,221.0
mark_siebert,220.0
privmccloud,217.0
0xleopard.btc,216.0
paranoidpurchaser,216.0
nmjchbu,215.0
lucanew,214.0
k0r34nb4ng3r,214.0
baba_786,213.0
ghassan7079,212.0
amanbishnoi,211.0
hank9639,210.0
.humility.,209.0
Johannes (JD) Drooghaag#2931,209.0
k03t,209.0
adonnini,209.0
m.hossein.heidari,208.0
bg_maui,207.0
dnpotter,207.0
kaimeinke,207.0
Reno#7664,206.0
the_haza,206.0
.ankhenaten,205.0
ritz0069,204.0
tiff9097,204.0
hikepatagonia#3411,202.0
orkatzman,201.0
_ecardo5o,201.0
onion.__,200.0
pandemon2442,196.0
mucu256,195.0
rikrapmund,195.0
kwstas.,194.0
johnrhodel,194.0
dennis6722782,193.0
izuking,193.0
ACEMULL#0016,192.0
sat0,192.0
gildor3111,192.0
santteegt,192.0
mrrayce,191.0
woocash_eth,191.0
defisensie,190.0
airtrax,190.0
koresh_tony,188.0
davidcoollguy,187.0
DanielA727#4278,185.0
berrybrains.,184.0
xmarkitus,184.0
.jessevanmuijden,184.0
MatteoITRM#6495,183.0
napoleone_79,182.0
sooper_,181.0
andy.ts.,180.0
mhiztavoice,180.0
vintro1873,180.0
iot-blocks#3178,180.0
ILIA#1211,179.0
jpdiel_symbioniq,179.0
Steffen#9437,178.0
ronald72,178.0
Michael P#1086,177.0
nocibambi,176.0
.anatix,175.0
tholder.,175.0
X TA C#1167,174.0
brouk2313,174.0
hecthor144hz,174.0
hziiebar,174.0
genius1120,174.0
macanga,172.0
awesome5756,171.0
xcxcf,171.0
blank8118,171.0
newera3,171.0
kukulkan6732,171.0
florez_alberto,170.0
boblets,170.0
sszylus,170.0
myles5837,168.0
anudit,168.0
Manjiri#0804,167.0
subit_crypto,166.0
yuen1234,166.0
sheridan_oceanprotocol,165.0
akrtws,164.0
trace20,164.0
mertkkl,164.0
deepraj.crypto,162.0
cb500xbros,162.0
paulwordsmith01,162.0
timotheus6812,161.0
cash_planet,161.0
khanpathan,160.0
amirtds,160.0
eigghead,160.0
Cosima#5385,160.0
antaraxia.eth,160.0
captainfeci,160.0
orageux101,159.0
yash.gadhade,158.0
dansmash_,158.0
wilson_odo,158.0
kong_dev321,158.0
stratego.eth,158.0
jayster2100,157.0
korizhave,157.0
jnmbrs,156.0
Lia_Miai#2272,155.0
moses0206,155.0
_rohang,155.0
kcullen,155.0
oldwarhorse#2560,154.0
trangnv,154.0
savvak,154.0
claytonroche,154.0
favour_cy,153.0
braveuser,153.0
defizeus,153.0
_cryptogeek,153.0
dolfolima.eth,152.0
gablp,152.0
afonso9673,152.0
corrie6921,151.0
jero_nl,151.0
deadmanbob,150.0
blessedarethepeacemakers,149.0
allroundwagmi#6076,149.0
Don't Ban Me#0312,149.0
web3legacy,149.0
chrislally,148.0
domingosl,148.0
rcav69,147.0
akuma9640,147.0
Abhicyb#0208,147.0
rookie047,147.0
Not anyone#9814,146.0
cassidy.williams#6881,146.0
hanzohazashi,146.0
Tal_Sls#7180,145.0
cavemankabam,144.0
0xcchan,144.0
viti4560,143.0
voron23,142.0
slipmonki,142.0
bm6461,142.0
trafficlab#4235,142.0
smhmyheadmyhead,142.0
mrwhite4108,141.0
your_echo_copywriter,141.0
ekincixyz,141.0
chinchinoshi,140.0
baghold,140.0
YSBVII#7892,140.0
xanxus_18559,140.0
skylarkq,139.0
randomacy,139.0
.donkeyking,139.0
crocdore.,139.0
goden8092,138.0
cipher_gb,137.0
crypto_engineer,137.0
randomness11,137.0
marcvlad,136.0
metapraxis,136.0
kemur.,136.0
asianpett,135.0
manuelmaccou,135.0
pastacartel,134.0
tannedoaksprout,134.0
tushar3694,134.0
lenny_malcolm,134.0
rodar3171,134.0
be right back#2783,134.0
johnjohnnyfam,134.0
dopesidez,134.0
qotop,134.0
telisgr,133.0
julian | nailuj#3190,133.0
fatgearge,133.0
lelouch_whd,132.0
javjav_,132.0
nickskniveshandshakenetwork,132.0
tiki_barry,131.0
w4vitale,131.0
ihorporsche,131.0
popaqy,130.0
Fermy#6766,129.0
hiramduran,129.0
icarlos365,128.0
traderbiku,128.0
weelecht,128.0
rider_7978,128.0
osirisrfrm,127.0
dixn_99,127.0
tayarn#7753,126.0
lebrel,126.0
toucan.br,126.0
Wuesten#6096,126.0
vein2967,125.0
biodidact,124.0
nadavhollanderopensea,124.0
encryptshawn,123.0
homocosmico,123.0
EdPast#6430,123.0
uncommon549,123.0
kaya8188,123.0
_srinithi_sivakumar_,122.0
bingbong#9045,122.0
databeatle,122.0
neikineiklis,121.0
sven.hammerschmidt#1835,121.0
jinky85#9163,121.0
feronfyre1610,121.0
0xspike18,120.0
smart8182,119.0
rioz3,119.0
greenbee9327,119.0
gbolcer,119.0
donaldtho,119.0
pray_eth,119.0
workmin_,119.0
blckchn,118.0
wen147,118.0
twistindicks,117.0
amalthea__,117.0
bud1977,117.0
davidtank248,116.0
John G. Fisher#9193,116.0
kokoz423,116.0
sparkling0614,116.0
regardskiki,116.0
RexSandy#9216,115.0
invictus.2010,115.0
unsigned.char#1970,115.0
drkp4,115.0
mr.drifter2,115.0
refishaman,115.0
whispernode,114.0
icetee4eva#9096,114.0
mr.snape,114.0
synonymofheat,114.0
stealth7158,112.0
lindenmann89,112.0
parashar,112.0
morisen,112.0
milo2703,112.0
bharathballamudi,111.0
baggy_stash,111.0
doktordave,111.0
veall0000,111.0
Nail#9679,111.0
kostasgk90,111.0
0xkydo,111.0
.feddas,111.0
cryptoalxj,111.0
gabeox12#2305,110.0
gabo_sama,110.0
matthewbradysmith,110.0
ivanlucas.,110.0
sunstar1780,110.0
suchcool.eth,109.0
Smoopie#1844,109.0
web33omega,109.0
anaomii,108.0
nattilife,108.0
stkout,108.0
oceanbyte,108.0
gtrfrost,107.0
pvlace#9156,107.0
thepresidente,107.0
vincent_28820,107.0
enlighton#8445,107.0
andresvsm,107.0
docwagmi,107.0
nma2382,106.0
robertsvr,106.0
tizzy8147,106.0
Muhammet-bbtechnologies.co.uk#3688,106.0
saulwiggin,105.0
john_acw,105.0
Bernhard#3963,105.0
federhm,105.0
ebenezer_.,105.0
choonzy,105.0
coffeedave,104.0
transhypocrite,104.0
_breta,103.0
thebouncespotter,103.0
EECC#9791,103.0
nostromo2,102.0
rriicchh_fish,102.0
yomogiman.,102.0
mralexyung,102.0
icepat,102.0
_misteranderson,102.0
scholja,101.0
creolepolyglot,101.0
cryptocap_,100.0
laszl,100.0
aichain#9454,100.0
Mattericks#5344,100.0
MenTee.ETH.Stargate#0790,100.0
gabrielemyname,100.0
orengutan_1234,100.0
.vitorbruno,100.0
Carlitros#9304,100.0
Neumann#0235,100.0
cool9559,100.0
lorenz1212,99.0
lubomir16,99.0
pastoffice,99.0
nonchalant0054,99.0
alice3311,99.0
robinnagpal,99.0
Joe Joseph#8517,99.0
GLaDDOS#8474,99.0
døc#9889,99.0
chriscccc,99.0
gray_csv,98.0
sarayli,98.0
pikachudot,98.0
jakgrills,98.0
zakkisyed,97.0
vt100#5755,97.0
zaatar4863,97.0
.pindapinda,97.0
ClaudiaH#6995,96.0
perkypangolin,95.0
_martijn.,95.0
husseinmshakir,95.0
cloutcoin,95.0
renegaderegen,95.0
defi_4rex#7432,95.0
dadafeyansa,95.0
st4rgard3n,95.0
Lwando#2501,94.0
batista87,94.0
franks.n.beans,94.0
i___am___yume,94.0
inanimate23,94.0
eugene2594,94.0
santadotsol,94.0
sonanomaly,93.0
pylegend,93.0
maladoy.,93.0
nesbee.,93.0
vorkutaaa,93.0
shivamgarg16#4596,93.0
gertnan#5969,93.0
bj#8888,93.0
trigs_0,92.0
reneedaos,92.0
saklain,92.0
antman#4912,91.0
chuksog,91.0
danelleoasiscommunitymod,91.0
chippo1620,91.0
justcunn,91.0
maiq#1035,91.0
alexxxyz#6303,91.0
mhaano,91.0
filipmasar,90.0
almog#1551,90.0
cryptoross_,90.0
Marta Matias#5921,90.0
jeremytrindade#2162,90.0
goldstengel,90.0
l_zava,90.0
cleverboy9370,89.0
drunkaroos#8480,89.0
kingfavour.eth,89.0
0xbossanova_whitewhalle,89.0
emmimurphy,89.0
t2t#7536,89.0
0xmagic,88.0
aikin6,88.0
rockys#8773,88.0
Dedukeofyork#7188,88.0
Tercel#1601,88.0
speakgibberish1,88.0
jonnybad,88.0
sortoite,88.0
Egor Tomilchik#8995,88.0
laurentony15#2825,88.0
degen1st,88.0
young624,88.0
bahtt,88.0
kazebeat,88.0
roger3149,87.0
scottyob86,87.0
borgbrain,87.0
Jaro#7446,87.0
hey.maggie,87.0
cryptoniern,87.0
__dc__.,87.0
yena8537,87.0
drkevinbethelm2e,86.0
shdwsqrrl,86.0
Louis_startinblox#8588,86.0
0xdamian_,86.0
callmethomas_1,86.0
.mihaibadea,86.0
Gagan Ryait#8346,86.0
0xayushsh,85.0
Muhammad Mahdi#2206,85.0
appo11,85.0
whispering_phantom,85.0
ruslvn,85.0
lucaskohorst,85.0
libertant,85.0
gripin,84.0
0xandros,84.0
emmanuelyinkz,84.0
devi_3333,84.0
CatarinaJoaoVieira#1341,84.0
ultimattjk,84.0
gixer6,84.0
matthiasroder,84.0
kaming7919,84.0
hawahawai#3444,84.0
steur_33,83.0
alex83032#8566,83.0
0_07074,83.0
mlzx,83.0
beeffree,83.0
cobbystardev,83.0
a.bektas38,83.0
degatchi,83.0
peanutbutterandicecream,83.0
tint.eth,82.0
degendata,82.0
Gru (Matt Wilson)#3202,82.0
abedkingfc91,82.0
fedotov_am,82.0
derek1357,82.0
izzycrypto,82.0
0xwamgi#6517,82.0
tear777,81.0
prynxxwisdom,81.0
jedi_69,81.0
wasim#5149,81.0
martydbro,81.0
illlefr4u,81.0
stippes,81.0
cynbahati,81.0
cryptoshaq,81.0
Reagan#9409,81.0
boylifedream,81.0
zcstarr,81.0
skeptrune,81.0
Romanbank#8706,81.0
richdad67,81.0
ijeojay,81.0
miwonder12,81.0
rajkaria,80.0
topa9176,80.0
team001,80.0
starzinger#9324,80.0
Lee wong#1352,80.0
.kevinberrey,80.0
0xDiogenes#9213,80.0
majerle13,80.0
itsalllev#6890,79.0
unoflyer5#9080,79.0
bilo3339,79.0
mavericksierra,79.0
niyesordunki,79.0
kearins,79.0
knoal,79.0
onovive#8968,79.0
cryptowayne.,79.0
cruzlptor,79.0
stingerup,79.0
ez4prez,79.0
bostikkkkkk,79.0
.stevetech,78.0
omni_georgio,78.0
ra1d88#3780,78.0
leoubbiali,78.0
insanity451,78.0
Franklin#4124,78.0
arn0ld.,78.0
lokagyani#3458,78.0
kyle_macintosh,78.0
dipfit,78.0
_biggyyy,78.0
vlloic#1584,77.0
AdaHeaven#7929,77.0
Galla#2836,77.0
adriel.tokyo#7819,77.0
Sakshi Dhamija#0272,77.0
my1692,77.0
spaces_vs_tabs#5398,77.0
xbxh,76.0
foxpause,76.0
H.M.H sustainable Loop#3192,76.0
r4c00n.,76.0
AlexBourlier#8916,76.0
Philantrop#6446,76.0
mare#6324,76.0
tugceozdeger,75.0
crypto_bob,75.0
quoppledopple,75.0
souleater9868,74.0
leoyoung,74.0
ighcrypto,74.0
metabuyer,74.0
findalas,74.0
angry_kuromi7,74.0
258638,74.0
bandicoot.sol#2413,73.0
Layne S#7386,73.0
hilarygray4030,73.0
mmonares,73.0
ultimatepro234,73.0
0xcredence,73.0
pinogivenchy#1098,73.0
s4urus,73.0
abol3z,73.0
jaypana,73.0
james343423,72.0
Bridging.tech#4699,72.0
dekgosh,72.0
xert1638,72.0
vittodale,71.0
neban#8550,71.0
Lee Va#1362,71.0
kpandey1,71.0
0xjordy,71.0
alinetla,71.0
zcayel,70.0
ArabianStallion#0907,70.0
al🎏#0437,70.0
.shaman.,70.0
blacksun#8319,70.0
mekadon2020,70.0
Jerianeth#1549,70.0
primo_data,70.0
awbizdev,70.0
mikewchan,69.0
kumishionp#2595,69.0
okpo_e,69.0
williamjin,69.0
enorm6061,69.0
tomato4113,69.0
krava5637,69.0
ashmeet0606,69.0
tomhussonjoineden.ai,69.0
tarandros,69.0
neo_namaste,69.0
mohammedlawyer,69.0
sid_1822,69.0
letudiant,69.0
ichrysakis#4587,69.0
onikahmedlucky#8548,69.0
michael4766423#8371,69.0
cryptopod2023,68.0
EL#0770,68.0
colokissero,68.0
blissfulrelaxationmusic#6890,68.0
super.slayin.squanchy,67.0
aesumdood,67.0
j263473,67.0
sjay2013,67.0
mrboondswaap,67.0
Mostafa#1611,67.0
btfd3#0736,67.0
ashie#2149,67.0
aw8675309,67.0
venture5135,67.0
arrack34,66.0
lybomir72,66.0
howtobefaster#7670,66.0
infinitehomie.eth,66.0
lowcodekrish,66.0
shanzz.,66.0
SKDataMan#6393,65.0
0x_akelo,65.0
doctort8992,65.0
plex8587,65.0
kesarii_39789,65.0
vonderwald,65.0
energieman.,65.0
mudassarejaz,65.0
kaueth,65.0
Vintage Gold#2799,65.0
lawson4375,65.0
andrewgmi,64.0
gerva3420,64.0
k3nn.eth,64.0
kingsleyrenec,64.0
gilbertog,64.0
juniper_juice,64.0
ice_e_fresh,64.0
fuzious,64.0
syn3sth3sia.eth,64.0
davidjames_gmnetwork.io,64.0
Michael H#1613,64.0
chad3784,64.0
andrechung,63.0
dtdid,63.0
alextoti.,63.0
sv.capt,63.0
0xcem,63.0
sapien#5795,63.0
elemoshoofmeta,63.0
dkob,63.0
glcrypto#2875,63.0
aceinthehole13,63.0
dasani#5507,63.0
samer248,63.0
_lynxrose,62.0
celia6224,62.0
y2k0916,62.0
feifwoefi,62.0
cryptoguru01,62.0
cipherwill,62.0
whatucookyoueat,62.0
msilucifer,62.0
HR#3721,62.0
JustTheLetterP#7336,61.0
shamburgularara,61.0
venice1307,61.0
christianreza,61.0
domizhong33,61.0
.agent_k,61.0
bardionson,61.0
karubinu,60.0
thomaslv,60.0
CrypticX777.NEAR#6732,60.0
rajatdzap,60.0
_raivyn,60.0
ElectrochemicalApe#4669,60.0
ekz10,60.0
nate_ape#2385,59.0
Toscojosh#1288,59.0
disfire,59.0
rahulsahoo17,59.0
doart3,59.0
opmichael_eth,59.0
mika2076,59.0
counterpart4223,59.0
_yexxis,59.0
ruhaux#2965,59.0
gyan0890,59.0
flyngcode,59.0
_7ucky,59.0
lbzao,58.0
cf7464,58.0
Tboyloyal#1401,58.0
thesamap#7822,58.0
malgamoe,58.0
Coldswet0827#5593,58.0
Konrad#6060,58.0
.dberon,58.0
encrypted_soul_,58.0
Rohan146#7390,58.0
PrometheusDE#3598,58.0
.eljulien,57.0
Ospreyl#2408,57.0
0x_sherli,57.0
susscrypto,57.0
conarid,57.0
bubai.eth,57.0
eugene#9978,57.0
dystoilet_paper,57.0
ka.ta,57.0
Bestre#0741,56.0
carbonatero,56.0
stathism,56.0
thiago.rossi,56.0
ezra2185,56.0
-0-Nick-1-#8889,56.0
bizgi000,56.0
0xdatawolf,56.0
jckt#8943,56.0
sneakyninja0536,56.0
dimka3400,56.0
StepanPlyushkin#1339,56.0
whynotmountain,55.0
pulsarforge,55.0
jubimax,55.0
Stock_Teamz#4009,55.0
aaydee,55.0
LCRW#0747,55.0
essentials23,55.0
vikingvagabond.1991,55.0
terexitarius,55.0
streamerd,55.0
correlator,55.0
Erik E#2177,54.0
gauravpartnershipsbd,54.0
vinay_93,54.0
sashimiboi,54.0
pzceo,54.0
MCKoh#6213,54.0
Tomoki#7982,54.0
ygg_anderson,54.0
tyler.scharf,54.0
smile.10162,54.0
fam7925,53.0
web3eg#0375,53.0
contentooo,53.0
shuyc,53.0
Keke#2404,53.0
gregoryfaruch,53.0
floramirabilis,53.0
eleventh19,53.0
HeroScarlett#5839,53.0
indri#8837,53.0
wynd.eth,53.0
mistmorn,53.0
"Oscar (✌,✌,✌)#4772",52.0
dsy4312,52.0
karthiktkd9,52.0
dikiypodem,52.0
jpegcafe,52.0
sandeepdas,52.0
macker_79,52.0
_ilhan,52.0
michaelizer,52.0
kylearojas,52.0
.dr.dan.,52.0
elainecara,52.0
sharpweb3,52.0
jumpstart310,52.0
0x.glitch,51.0
0xweiss,51.0
rajshreemondal,51.0
WHF- Work From Home#6631,51.0
Jorddavis22#4741,51.0
0x.ramz,51.0
Billy49#9202,51.0
ifx_dev,51.0
barefootdev,51.0
huvissy,51.0
nz3000,51.0
Kaptain Lee#9485,50.0
scottmolluso,50.0
gurkanaydogan1,50.0
ameya,50.0
krakensupport,50.0
nixo.v,50.0
0x9000,50.0
bluehash#7782,50.0
jon8314,50.0
kliker6753,50.0
Chris | Frogs Anon#8149,50.0
criss.dev,50.0
Muskan#3942,49.0
0x_yoshi,49.0
tian7.eth,49.0
discord603#0388,49.0
cryptojay#3612,49.0
forbes99,49.0
cameroondyazz,49.0
monkey777.,49.0
CryptoDeveloper#5349,49.0
josedalby,49.0
Lumosian#6680,48.0
abualmualim,48.0
herky11_be,48.0
molusque6207,48.0
padskee,48.0
Sofimeiker#5226,48.0
SkCLucky#9424,48.0
madorkestra,48.0
kobriy_,48.0
waterandpani_14049,48.0
reaperloulou,48.0
gringoo94,48.0
Arunakiry#1973,48.0
zhangliu.eth,48.0
dazzling_lamb_29155,48.0
dainaman123,48.0
arv.ee,48.0
taylor me#4368,48.0
midnightblue223,48.0
aiswarya.cryptic#1738,48.0
SK31#3338,48.0
tmk1221,48.0
sadam6633,47.0
souveynr,47.0
0xsandeshk,47.0
Ravi_Joshi22#0306,47.0
Kirsty#8372,47.0
cryptojake888,47.0
pyrus.c,47.0
philkk,47.0
nightowl0179,47.0
mims4life,47.0
degenagainst,47.0
mkbeefcake,47.0
frankc0779,47.0
theobtl,47.0
srjshishmn,47.0
Davedo#0381,46.0
_carla_,46.0
beast_mode05,46.0
fdonovan01,46.0
feverdreamer4199,46.0
Hoang B#1361,46.0
aron.dev,46.0
zylax,46.0
izadgfx,46.0
Tavia#9606,46.0
Texacan45#9929,46.0
shitcoin1000xwen,46.0
jarrk#9195,46.0
8baller_,46.0
jebus7892,46.0
GenuineDuke#1960,46.0
jamvs.,46.0
ideologicallydecentralized,46.0
witchesrune,45.0
BagHabitt#7285,45.0
hossein4457,45.0
bruiselee#8941,45.0
tetianka,45.0
Sau1707#7368,45.0
zanewithspoon,45.0
.sybr,45.0
filipeeekq,45.0
crypto_future,45.0
cult_leader_en,45.0
yardmandaved,44.0
kyleArojas#8414,44.0
okan_eth,44.0
r0rd,44.0
harshilairen,44.0
olegmel,44.0
Wofter#9996,44.0
Mallass#5921,44.0
mar1na,44.0
craenius,44.0
machuche,44.0
claudiomatos#0282,44.0
hass1080,44.0
abbasmformystic,44.0
Pato Alvarez#8523,44.0
el8dn8,44.0
cryptomama#2557,44.0
anthony_pm,44.0
marta5096,44.0
empathy#4089,43.0
drghosto,43.0
mdees22,43.0
bidask,43.0
Cryptochefwannbe#4463,43.0
vetinary,43.0
rx2347#2597,43.0
ardordo,43.0
souichi9410,43.0
tr0uva1lle,43.0
mcallisternerd,43.0
blankcoo,43.0
FabweltToken Bug Report#7008,43.0
levimempool,43.0
quinoa_.,43.0
feliciacertik,42.0
shreitzel,42.0
victorz01,42.0
metaglyphy,42.0
meito_enma,42.0
anapheys,42.0
cryptobull0321,42.0
IndianaHodl#2575,42.0
don_fanucci,42.0
thecoinoracle,42.0
shafu0x,42.0
lhdnguy,42.0
kalixoq,42.0
stefan.eth.,41.0
Sujknight#0226,41.0
bacorisk#7708,41.0
michel0806#6214,41.0
stephin#3992,41.0
eenniiggmmaa,41.0
shalsa2721,41.0
.chaimf,41.0
DionCryptoMillionaire#8752,41.0
aqua.zk,41.0
Mochi Magic#7259,41.0
djesys,41.0
0xdsoap,41.0
visionoftomo,41.0
a13xand3rr,41.0
Umer K#9867,41.0
xkx_kira_xkx,41.0
ika0509,41.0
.joseph666,41.0
birth7287,41.0
smallcapscience,41.0
andreessen_horowitz,41.0
alanmatos93,41.0
jedi072#5752,41.0
sikel0738,41.0
ladybug_nyc,41.0
bigmistake77,41.0
pwise_truflation.com,40.0
Ducki#4334,40.0
keatonk6787,40.0
Thomas de Marchin#2707,40.0
mohammadyt,40.0
tornillo#9553,40.0
hrdl1,40.0
ajc79,40.0
_razito,40.0
utxi#9163,40.0
ro31n,40.0
sadninja,40.0
.julierobb12,40.0
alvaroderamonmurillo,40.0
artimunor,40.0
touchofmyk,40.0
.shirolee,39.0
heytheremichael#7090,39.0
carbonfeet,39.0
nicolas25.,39.0
smartgambling,39.0
cryptomaster333,39.0
mark Tuler#6369,39.0
akshayd99,39.0
pep3297,39.0
mulllife,39.0
Helena G#7379,39.0
mkirstein#2779,39.0
sasuke_0128,39.0
cruzini,39.0
tonigodswill,39.0
anthonyhsiao.,39.0
mightyardent,39.0
axondao,39.0
vindeagle,38.0
kaku#5215,38.0
blockpusher_j,38.0
magicmoneymover,38.0
2557.eth,38.0
matsca,38.0
lunaticmafia,38.0
xposure.today,38.0
monkeyd23#5729,38.0
starynstupid,38.0
