Author,Message_Count,Total_Characters,Average_Content_Length,Activity_Category
0xapurv,1,173.0,31.0,Very Low
0xarjan,1,18.0,3.0,Very Low
0xayoub75,1,6.0,1.0,Very Low
0xayushsh,8,472.0,10.625,Very Low
0xbalrog,1,18.0,3.0,Very Low
0xblockboy,7,1691.0,45.57142857142857,Very Low
0xbossanova_whitewhalle,3,532.0,29.666666666666668,Very Low
0xbuBby#5543,1,18.0,3.0,Very Low
0xcaleb,1,18.0,3.0,Very Low
0xcchan,11,792.0,13.090909090909092,Low
0xcech,1,18.0,3.0,Very Low
0xcem,5,311.0,12.6,Very Low
0xchege,2,20.0,2.0,Very Low
0xcii,1,18.0,3.0,Very Low
0xcii.,1,18.0,3.0,Very Low
0xcloud,1,18.0,3.0,Very Low
0xcredence,5,386.0,14.6,Very Low
0xdadab,1,18.0,3.0,Very Low
0xdamian_,6,428.0,14.333333333333334,Very Low
0xdatawolf,4,294.0,14.0,Very Low
0xdemo,1,18.0,3.0,Very Low
0xdevving,1,58.0,10.0,Very Low
0xdsoap,2,262.0,20.5,Very Low
0xgarret,1,98.0,18.0,Very Low
0xgigi,1,18.0,3.0,Very Low
0xhess,1,18.0,3.0,Very Low
0xjcn,1,18.0,3.0,Very Low
0xjoe#4551,1,18.0,3.0,Very Low
0xjordy,5,414.0,14.2,Very Low
0xjsn#8510,1,18.0,3.0,Very Low
0xkvasir.,2,44.0,4.0,Very Low
0xkydo,2,651.0,55.5,Very Low
0xleopard.btc,2,1640.0,108.0,Very Low
0xlowbank,1,32.0,7.0,Very Low
0xmagic,6,523.0,14.666666666666666,Very Low
0xmanny,1,2.0,1.0,Very Low
0xmarcus,1,121.0,23.0,Very Low
0xmonky,4,34.0,1.5,Very Low
0xnestor,1,18.0,3.0,Very Low
0xniall.,2,148.0,16.0,Very Low
0xnoe,42,3040.0,13.571428571428571,Low
0xquantive,13,1857.0,25.923076923076923,Low
0xriccardo,12,1942.0,29.666666666666668,Low
0xrishabh,1,18.0,3.0,Very Low
0xrock,1,18.0,3.0,Very Low
0xsami,2,36.0,3.0,Very Low
0xsandeshk,4,248.0,11.75,Very Low
0xsececiy683#8319,1,18.0,3.0,Very Low
0xsleepy.,1,54.0,10.0,Very Low
0xspades#1165,1,18.0,3.0,Very Low
0xspike18,6,747.0,20.0,Very Low
0xspk,1,18.0,3.0,Very Low
0xssupport,1,18.0,3.0,Very Low
0xstan,1,18.0,3.0,Very Low
0xstrawhat,1,18.0,3.0,Very Low
0xsunny#7280,1,18.0,3.0,Very Low
0xtheresa,2,206.0,18.0,Very Low
0xtherin,1,18.0,3.0,Very Low
0xtommmy,1,18.0,3.0,Very Low
0xvgm,1,18.0,3.0,Very Low
0xvincenzo,1,18.0,3.0,Very Low
0xwamgi#6517,3,469.0,27.333333333333332,Very Low
0xweiss,2,279.0,25.5,Very Low
0xwiji,1,18.0,3.0,Very Low
1002cary1002,1,18.0,3.0,Very Low
100x5451,1,18.0,3.0,Very Low
1020kyl,1,18.0,3.0,Very Low
10ponds#0542,1,142.0,26.0,Very Low
10x#8227,1,18.0,3.0,Very Low
10xer,1,18.0,3.0,Very Low
11101062,1,18.0,3.0,Very Low
123121244,1,18.0,3.0,Very Low
134years.old,4,148.0,7.25,Very Low
164-99#1441,1,18.0,3.0,Very Low
1665_,6,3510.0,103.66666666666667,Very Low
17' τù¢#1379,1,18.0,3.0,Very Low
17656432515#2459,1,18.0,3.0,Very Low
1busyguy,1,144.0,27.0,Very Low
1linkrus1#4553,1,18.0,3.0,Very Low
1of1vel,1,41.0,8.0,Very Low
1pathvision,1,18.0,3.0,Very Low
1slopes,1,18.0,3.0,Very Low
2000nastya,1,2.0,1.0,Very Low
21notorious#6263,1,18.0,3.0,Very Low
21sat,1,18.0,3.0,Very Low
2557.eth,1,218.0,38.0,Very Low
258638,4,359.0,18.5,Very Low
27584824#9078,1,18.0,3.0,Very Low
2arthur8,1,18.0,3.0,Very Low
2kk617#7006,2,175.0,16.0,Very Low
2n1u0,1,35.0,8.0,Very Low
2oran,1,18.0,3.0,Very Low
313DV#0157,1,18.0,3.0,Very Low
39on#2390,1,18.0,3.0,Very Low
3Geeks | WeDataNation#2397,2,214.0,18.0,Very Low
3Trey#8110,1,18.0,3.0,Very Low
3hlth#6187,1,18.0,3.0,Very Low
3labs#6432,1,18.0,3.0,Very Low
3rag0n,1,18.0,3.0,Very Low
3vdaimoniac,81,13489.0,29.97530864197531,Low
3x#8734,1,33.0,5.0,Very Low
40100,5,71.0,3.2,Very Low
411ireport,1,2.0,1.0,Very Low
4155308928#6230,1,18.0,3.0,Very Low
43#3317,1,18.0,3.0,Very Low
44?#0366,1,18.0,3.0,Very Low
44angelfaced,1,18.0,3.0,Very Low
4Girlsdeep#0240,1,18.0,3.0,Very Low
4evest,2,50.0,4.5,Very Low
4gwkyuren3djt,1,5.0,1.0,Very Low
4harpy888,3,112.0,8.0,Very Low
4ntron,1,123.0,24.0,Very Low
5h1n0b1,1,53.0,11.0,Very Low
5ikal,47,1525.0,6.191489361702128,Low
63_raed_36,1,18.0,3.0,Very Low
6770,1,2.0,1.0,Very Low
69s69s69#9858,1,18.0,3.0,Very Low
6cryptomoves9#9900,1,18.0,3.0,Very Low
6ejiblu#2504,1,18.0,3.0,Very Low
7GhR [M•D]#2450,1,18.0,3.0,Very Low
7_1  ≡¥É┤≡¥É╡&  _$#8852,1,18.0,3.0,Very Low
7entropy7,1,18.0,3.0,Very Low
7sigma,1,18.0,3.0,Very Low
88mph0088,2,40.0,3.5,Very Low
899eth,1,181.0,30.0,Very Low
8baller_,6,248.0,7.666666666666667,Very Low
8forty3,1,61.0,10.0,Very Low
99d5ifi65pu#6401,1,18.0,3.0,Very Low
; !! valentine ≡ƒªç#6889,1,18.0,3.0,Very Low
< cyberzpice 3#0305,1,18.0,3.0,Very Low
<3.#5651,1,18.0,3.0,Very Low
<inari!>#2437,1,18.0,3.0,Very Low
>w<#5481,1,18.0,3.0,Very Low
A E#9806,1,18.0,3.0,Very Low
A l├¡ n├¿#2388,1,18.0,3.0,Very Low
A-Omonu#0066,1,18.0,3.0,Very Low
A..#4536,1,18.0,3.0,Very Low
AA.#1429,1,18.0,3.0,Very Low
AB.Rao#1996,1,18.0,3.0,Very Low
ACEMULL#0016,8,1175.0,24.0,Very Low
AFS97#1017,1,18.0,3.0,Very Low
AJ MASELLA#4744,1,18.0,3.0,Very Low
AJ#3165,1,93.0,18.0,Very Low
ALIXES#9003,1,18.0,3.0,Very Low
AN#0068,1,18.0,3.0,Very Low
ANdreea#2799,1,18.0,3.0,Very Low
AOII | NFT Lord💰#1071,1,18.0,3.0,Very Low
AP#9506,1,18.0,3.0,Very Low
ASH#6531,1,18.0,3.0,Very Low
ASHISHSOMANI#2727,1,18.0,3.0,Very Low
ASTORY#4779,1,129.0,25.0,Very Low
AVP2009#1275,1,18.0,3.0,Very Low
Aaron MOD#0202,1,18.0,3.0,Very Low
Aarongarrard#1361,1,18.0,3.0,Very Low
Abhicyb#0208,7,847.0,21.0,Very Low
AbigailBear#8309,1,18.0,3.0,Very Low
Abiyyi#9339,1,18.0,3.0,Very Low
AbsurdityYT#6893,1,18.0,3.0,Very Low
Abude.me#5829,1,18.0,3.0,Very Low
Aceng#1163,1,18.0,3.0,Very Low
Acheron8888#9004,1,18.0,3.0,Very Low
Achintya#0252,1,18.0,3.0,Very Low
Acit#7453,1,18.0,3.0,Very Low
AdaHeaven#7929,4,410.0,19.25,Very Low
Adalgiso#7822,1,18.0,3.0,Very Low
AdamK#4158,1,18.0,3.0,Very Low
Adamdev#6963,1,18.0,3.0,Very Low
Adamizer1#6735,1,18.0,3.0,Very Low
Adamo Miquelini#6061,1,18.0,3.0,Very Low
Adams Smith#1549,1,18.0,3.0,Very Low
AddiDaddi#0486,1,18.0,3.0,Very Low
Adeyemi Segun#6578,1,18.0,3.0,Very Low
Administrative support#1973,1,18.0,3.0,Very Low
Adriano✪#2184,1,18.0,3.0,Very Low
Adventure Time#5424,1,18.0,3.0,Very Low
Aedro#3403,1,18.0,3.0,Very Low
Aeezaezaer#2702,1,89.0,19.0,Very Low
Ageee#6823,1,18.0,3.0,Very Low
Agent Mahone#5962,1,18.0,3.0,Very Low
Ailina#2260,1,18.0,3.0,Very Low
Aimata#1177,1,18.0,3.0,Very Low
Ainn Nala Γ£º#1398,1,18.0,3.0,Very Low
Airmilez#7429,1,18.0,3.0,Very Low
Ak'#1885,1,18.0,3.0,Very Low
Akemi Hime#9370,1,18.0,3.0,Very Low
Akira.Banzai#7282,1,18.0,3.0,Very Low
Al7erEgo#8382,1,18.0,3.0,Very Low
Aladji Bah#7713,3,154.0,10.0,Very Low
Alberto Menegazzi#1380,1,18.0,3.0,Very Low
Alcide#1355,1,18.0,3.0,Very Low
Aldair Γ¥ñ#9731,1,18.0,3.0,Very Low
Ale borda#2295,1,18.0,3.0,Very Low
Alex - Regen#7369,2,125.0,12.0,Very Low
Alex b#0699,1,18.0,3.0,Very Low
Alex._core#8655,1,18.0,3.0,Very Low
AlexBourlier#8916,3,446.0,25.333333333333332,Very Low
AlexWhyDontWe#1422,1,18.0,3.0,Very Low
Alexander Martins#5995,1,42.0,4.0,Very Low
AlexanderRage#9569,1,18.0,3.0,Very Low
Alexandre 11#2338,1,18.0,3.0,Very Low
Alexdrabik#7793,1,18.0,3.0,Very Low
AlexiaTheMarten#8332,1,18.0,3.0,Very Low
Alexjdlroca_#9423,1,18.0,3.0,Very Low
Alexpao#9344,209,21140.0,16.89952153110048,Moderate
Alexpuddy#1307,1,18.0,3.0,Very Low
Algii#3436,1,18.0,3.0,Very Low
Algotti#6580,1,18.0,3.0,Very Low
Ali Yaren#7270,1,18.0,3.0,Very Low
Ali Z#2910,1,18.0,3.0,Very Low
Alice09#0787,2,86.0,8.5,Very Low
Allein#4229,1,18.0,3.0,Very Low
Allen.eth#1458,1,18.0,3.0,Very Low
Alonso marquez#8074,1,18.0,3.0,Very Low
Alpha Volksheld der Vaderlands#3207,1,18.0,3.0,Very Low
Alsia#4728,1,18.0,3.0,Very Low
Altay#1232,1,18.0,3.0,Very Low
Aluerris#4784,1,18.0,3.0,Very Low
Ama#9970,1,18.0,3.0,Very Low
AmarisFloyd#5863,1,18.0,3.0,Very Low
Amos Lowe | Ankr#3160,1,18.0,3.0,Very Low
Amx17#2378,1,18.0,3.0,Very Low
An1mE_Vik>-<#5725,1,18.0,3.0,Very Low
AnPrimeLab#8420,1,18.0,3.0,Very Low
Ana | Skytale#9938,1,18.0,3.0,Very Low
Ana_Ocean#0497,1,18.0,3.0,Very Low
Anas#6222,1,18.0,3.0,Very Low
Anderson91#6902,1,18.0,3.0,Very Low
Andra#9113,1,18.0,3.0,Very Low
Andrei Jikh#6635,1,18.0,3.0,Very Low
Andrei°#5122,1,18.0,3.0,Very Low
Andrew lee#8953,2,30.0,2.5,Very Low
Andrew#6312,2,153.0,13.0,Very Low
Andrew_Stein#8805,1,18.0,3.0,Very Low
Andrewww#3064,1,18.0,3.0,Very Low
AndriiKra#3739,1,18.0,3.0,Very Low
Andy1#7321,1,18.0,3.0,Very Low
Andyy≡ƒÄë#2122,1,18.0,3.0,Very Low
Angel <3.#0757,1,18.0,3.0,Very Low
Angel#2088,1,18.0,3.0,Very Low
Angelina_#5083,1,18.0,3.0,Very Low
AngieGaris#1661,1,18.0,3.0,Very Low
AngryZellers#6442,1,18.0,3.0,Very Low
Anh#1576,1,18.0,3.0,Very Low
Anhel#0473,1,18.0,3.0,Very Low
Anji_1914#8831,1,18.0,3.0,Very Low
Anna Perkins#7773,1,18.0,3.0,Very Low
Anna0123#6728,1,18.0,3.0,Very Low
Anna8807#9922,1,18.0,3.0,Very Low
AnnaT#6201,1,18.0,3.0,Very Low
AnneTeak#6415,1,18.0,3.0,Very Low
Announcement#6458,1,18.0,3.0,Very Low
Announcement#7844,1,18.0,3.0,Very Low
Ansh#4912,1,18.0,3.0,Very Low
Anthony4kid#0287,3,123.0,8.0,Very Low
AnthonySarmiento#4522,1,18.0,3.0,Very Low
Anti bot#6497,1,18.0,3.0,Very Low
Antoinef#7849,1,3.0,1.0,Very Low
Anuj#8604,1,18.0,3.0,Very Low
Application Bot Premium#7743,0,0.0,,
Apputtan#7977,1,18.0,3.0,Very Low
AquaFatal#7430,1,18.0,3.0,Very Low
Aquarius#0688,1,18.0,3.0,Very Low
ArKatict#9010,1,18.0,3.0,Very Low
ArabianStallion#0907,2,443.0,35.0,Very Low
Araf2009#1810,1,18.0,3.0,Very Low
ArcadeCat#8706,1,18.0,3.0,Very Low
Arham#9409,1,18.0,3.0,Very Low
Ari_alias#6257,1,18.0,3.0,Very Low
Aria#3898,1,15.0,3.0,Very Low
Aroony#6010,1,18.0,3.0,Very Low
ArtAlchemist#2820,1,18.0,3.0,Very Low
Artem!#7125,1,2.0,1.0,Very Low
Artem$$$#5151,1,18.0,3.0,Very Low
Arthem#3065,1,18.0,3.0,Very Low
Artifax#7941,1,18.0,3.0,Very Low
Arunakiry#1973,2,262.0,24.0,Very Low
Aruvinsan#6426,1,18.0,3.0,Very Low
Arvo S. Longshanks#9932,1,18.0,3.0,Very Low
Arya Stark#9731,1,16.0,4.0,Very Low
Ashy#2933,1,18.0,3.0,Very Low
Asian F1sh#7841,1,18.0,3.0,Very Low
AskDiana#0417,1,18.0,3.0,Very Low
AskMartin#0801,1,18.0,3.0,Very Low
Assist Desk l Tech#5044,1,18.0,3.0,Very Low
Asupercoolguy#9210,1,18.0,3.0,Very Low
Atlanswer#7957,1,18.0,3.0,Very Low
Atlantis DAO#2358,1,18.0,3.0,Very Low
Atom#7131,1,18.0,3.0,Very Low
Autisdt#4875,1,18.0,3.0,Very Low
AutoBot#1760,46,6128.0,25.17391304347826,Low
Ava_HD#6578,1,18.0,3.0,Very Low
Available_degree#2081,3,155.0,6.333333333333333,Very Low
Aveesh#3671,6,114.0,3.5,Very Low
Avicii┬ª(#3502,1,18.0,3.0,Very Low
Avinash#6248,1,18.0,3.0,Very Low
Avvytheone#2103,1,18.0,3.0,Very Low
Axel Altenwerth#6016,1,18.0,3.0,Very Low
Axel Ryan#8908,1,18.0,3.0,Very Low
Axmam#1392,1,18.0,3.0,Very Low
Aydins#1179,1,18.0,3.0,Very Low
Ayme#3034,1,18.0,3.0,Very Low
Aymeric#2252,2,146.0,14.0,Very Low
AzA≡ƒîÖ#1011,1,18.0,3.0,Very Low
Azngami#0199,1,18.0,3.0,Very Low
B o yy#8716,1,18.0,3.0,Very Low
B.A#5219,1,18.0,3.0,Very Low
B2TD#2856,1,18.0,3.0,Very Low
B4T3#4431,1,16.0,3.0,Very Low
B4st14n#8572,1,18.0,3.0,Very Low
BA KA#8728,1,18.0,3.0,Very Low
BBERRY#1130,1,18.0,3.0,Very Low
BIOCARROT69420#4089,1,18.0,3.0,Very Low
BISMILLAH MINGGU DEPAN#0039,1,18.0,3.0,Very Low
BISMILLAH MINGGU DEPAN#3470,1,18.0,3.0,Very Low
BITbyBIT#9136,1,18.0,3.0,Very Low
BLANC#5757,1,18.0,3.0,Very Low
BOT🔘#9541,1,18.0,3.0,Very Low
BPM Bot#3521,3,87.0,5.333333333333333,Very Low
BUDDY#9460,1,18.0,3.0,Very Low
BUSAAD11#1697,1,18.0,3.0,Very Low
BabyMochiii#5830,1,18.0,3.0,Very Low
BabykKiyah#9715,1,18.0,3.0,Very Low
BadMuse#2072,1,18.0,3.0,Very Low
Bada#6941,1,18.0,3.0,Very Low
BagHabitt#7285,2,210.0,22.5,Very Low
